012.208-0.101	012.208-0.101, [GPD88] 012.208-0.101, 
IRAS07077-1026	 IRAS 07077-1026, WB89 957, 
IRAS07083-1945	 V* SY CMa, AN 54.1929, BD-19 1728, IRAS 07083-1945, LTY2003 NIRS 07083-1945, AAVSO 0706-19A, 
IRAS07092+0735	 V* WX CMi, AN 451.1934, CSS 316, GSC 00762-02654, IRAS 07092+0735, NSV 3412, RAFGL 4569S, S1* 214, AAVSO 0706+07, 
IRAS07099+1441	 V* VX Gem, AN 116.1914, BD+14 1598, BSD 75-459, C* 688, Case 702, CGCS 1595, GCRV 4751, GSC 00774-01053, HD 55284, HIC 34859, HIP 34859, IRAS 07099+1441, IRC +10156, LEE 81, 2MASS J07124897+1436035, RAFGL 4574S, SV* HV 3374, TYC 774-1053-1, AAVSO 0707+14, 
IRAS07099+1744	 V* UZ Gem, AN 5.1916, IRAS 07099+1744, IRC +20174, RAFGL 4571S, AAVSO 0707+17, 
IRAS07099-0146	 V* AH Mon, CSI-01-07099, GCRV 58467, GSC 04815-01450, IRAS 07099-0146, 2MASS J07122680-0151590, SV* R 159, AAVSO 0707-01, 
IRAS07109-0713	 IRAS 07109-0713, 
IRAS07111-1211	 IRAS 07111-1211, 2MASX J07132985-1216522, WB89 964, 
IRAS07113-2747	 IRAS 07113-2747, 
IRAS07119-1210A	IRAS 07119-1210A, 
IRAS07134+2605	 V* WZ Gem, AN 7.1922, CSI+26-07135, GCRV 58533, IRAS 07134+2605, AAVSO 0710+26, 
IRAS07136+0349	 IRAS 07136+0349, 
IRAS07149+0111	 V* RR Mon, AN 16.1903, CSI+01-07149, CSS 326, DO 2081, GCRV 4821, HD 56567, IRAS 07149+0111, IRC +00153, 2MASS J07173153+0105413, S1* 217, C97 28, AAVSO 0712+01, 
IRAS07153-2411	 IRAS 07153-2411, 
IRAS07159-2156	IRAS 07159-2156, 
IRAS07161+0248	 V* WZ CMi, AN 96.1933, CSI+02-07162, GCRV 58602, IRAS 07161+0248, AAVSO 0713+02, 
IRAS07173-1744	 IRAS 07173-1744, WB89 976, 
IRAS07197-1451	 V* TT CMa, AN 56.1931, CSS 341, IRAS 07197-1451, 2MASS J07220198-1456569, RAFGL 4593S, S1* 225, LMW2001 370, LTY2003 NIRS 07197-1451, 
IRAS07200-1846	 LFO93 0720-18, IRAS 07200-1846, 
IRAS07203+1311	 V* V Gem, BD+13 1653a, CSI+13 1653 2, GCRV 4898, GEN# +1.00057770, GSC 00771-00003, HD 57770, HIC 35812, HIP 35812, IRAS 07203+1311, 2MASS J07230935+1306045, D75 38, AAVSO 0717+13, 
IRAS07207-1435	 IRAS 07207-1435, 2MASS J07230189-1441382, WB89 985, 
IRAS07209-2540	 V* VY CMa, ** B 719AB, ** SEE 78CDEF, ADS 6033 AB, AN 60.1931, CCDM J07230-2546ABCDEF, CD-25 4441, CPD-25 2286, GCRV 4908, GEN# +1.00058061J, GSC 06541-02525, HD 58061, HIC 35793, HIP 35793, IRAS 07209-2540, IRC -30087, 2MASS J07225830-2546030, OH 239.3 -5.1, PPM 252258, RAFGL 1111, SAO 173591, SKY# 13432, SRS 7681, SV* P 468, TYC 6541-2525-1, YZ 115 4839, LFO93 0720-25, PCC93 116, SFD98 239.4-05.1, TVH89 21, WCP90 072054.739-254012.27, AAVSO 0718-25, 
IRAS07219-2538	IRAS 07219-2538, 
IRAS07229+3328	 V* XX Gem, AN 8.1922, IRAS 07229+3328, IRC +30184, RAFGL 1117, 
IRAS07231-0300	 V* V686 Mon, IRAS 07231-0300, NAME MCNAUGHT'S VAR, AAVSO 0720-02, 
IRAS07232-0544	 V* TT Mon, CSI-05-07232, GCRV 58756, GSC 04829-00262, HIC 36043, HIP 36043, IRAS 07232-0544, IRC -10163, 2MASS J07254061-0551012, PPM 703569, RAFGL 1118, SV* HV 3566, TYC 4829-262-1, LMW2001 429, LTY2003 NIRS 07231-0544, PCC93 118, AAVSO 0720-05, 
IRAS07236-1138	 V* V349 CMa, IRAS 07236-1138, 2MASS J07255819-1144221, Tmz V304, 
IRAS07250+4104	 V* VX Aur, AN 27.1913, BD+41 1660, GCRV 58772, GSC 02961-01146, HIC 36314, HIP 36314, IRAS 07250+4104, IRC +40177, 2MASS J07283049+4058136, RAFGL 1122, TYC 2961-1146-1, AAVSO 0721+41, 
IRAS07253-2001	 GSC 05974-03318, GLMP 183, GSC2 S1030333666, IRAS 07253-2001, 2MASS J07273298-2007195, 
IRAS07263+2253	IRAS 07263+2253, V343 Gem, 
IRAS07268-0410	 V* RX Mon, AN 7.1908, CSI-04-07268, DO 2218, HD 59334, HIC 36394, HIP 36394, IRAS 07268-0410, IRC +00156, 2MASS J07292132-0416437, RAFGL 4603S, AAVSO 0724-04, 
IRAS07277-1821	 IRAS 07277-1821, GAL 233.68-00.19, PCC93 119, 
IRAS07279-2038	 IRAS 07279-2038, GAL 235.68-01.25, WB89 1006, PCC93 120, 
IRAS07279-2038-2	IRAS 07279-2038-2, 
IRAS07284-0940	 V* U Mon, BD-09 2085, GC 10054, GCRV 5005, GEN# +1.00059693, GSC2 S1031232880, GSC 05400-04699, HD 59693, HERZ 12707, HIC 36521, HIP 36521, IRAS 07284-0940, 2MASS J07304746-0946366, MSX5C G226.1409+04.1531, MSX6C G226.1416+04.1537, PLX 1777, PPM 190345, RAFGL 1135, SAO 134775, SKY# 13755, TYC 5400-4699-1, YZ 99 2696, AAVSO 0726-09, 
IRAS07299+0825	 V* S CMi, AG+08 999, BD+08 1800, DO 2241, EIC 192, GC 10095, GCRV 5025, GEN# +1.00059950, HD 59950, HIC 36675, HIP 36675, IRAS 07299+0825, IRC +10167, 2MASS J07324305+0819054, PMC 90-93 4649, PPM 152841, RAFGL 1138, SAO 115591, SKY# 13812, YZ 8 3903, AAVSO 0727+08, 
IRAS07299-1651	 WHR97 07299-1651, DG 121, GAL 232.62+01.00, IRAS 07299-1651, RCW 7, WB89 1013, WBH98 07299-1651, 
IRAS07304-2032	 V* Z Pup, AN 19.1900, BD-20 2007, BM V 24, CPD-20 2569, GCRV 58886, GCRV 5026, HD 60218, HIC 36669, HIP 36669, IRAS 07304-2032, IRC -20133, 2MASS J07323806-2039291, RAFGL 1140, PCC93 121, AAVSO 0728-20B, 
IRAS07308+3037	 V* OZ Gem, IRAS 07308+3037, IRC +30187, NSV 3641, RAFGL 1141, PCC93 122, 
IRAS07312+1150	 V* T CMi, BD+12 1594a, GCRV 5039, GSC 00773-00757, IRAS 07312+1150, 2MASS J07340047+1144069, D75 40, AAVSO 0728+11, 
IRAS07333-1838	 ESO 560-1, BRAN 50, GUM 7, IRAS 07333-1838, LBN 1051, LBN 234.57+00.78, Min 1-85, SH 2-307, WB89 1026, 
IRAS07359+3435	 V* ST Gem, AN 19.1909, CSI+34-07358, GCRV 58954, IRAS 07359+3435, AAVSO 0732+34, 
IRAS07366+3646	 V* RU Lyn, AN 230.1928, IRAS 07366+3646, AAVSO 0733+36, 
IRAS07372-1036	 V* V829 Mon, IRAS 07372-1036, 2MASS J07393953-1043054, Tmz V307, 
IRAS07382+2032	IRAS 07382+2032, Y Gem, IRC +20187, 
IRAS07386+0829	 V* U CMi, BD+08 1847a, EIC 196, GCRV 5120, GSC 00778-00813, HD 61789, HIC 37459, HIP 37459, IRAS 07386+0829, IRC +10171, 2MASS J07412002+0822490, TYC 778-813-1, AAVSO 0735+08, 
IRAS07398-2509	IRAS 07398-2509, 
IRAS07399-1435	 NAME CALABASH NEBULA, GAL 231.83+04.22, GAL 231.8+04.2, GLMP 191, IRAS 07399-1435, MSX5C G231.8348+04.2193, NAME OH 231.8, NAME ROTTEN EGG NEBULA, OH 231.84 +4.22, OH 231.8 +4.2, OH 0739-14, RAFGL 5237, V* QX Pup, WB89 1045, LFO93 0739-14, NHO98 07399-1435, TVH89 22, 
IRAS07400+2334	 V* S Gem, AG+23 862, BD+23 1796, CCDM J07431+2327A, CSI+23 1796 1, GC 10369, GCRV 5135, HD 62045, IDS 07370+2341 A, IRAS 07400+2334, 2MASS J07430256+2326580, PPM 97875, RAFGL 4626S, SAO 79635, PCC93 124, AAVSO 0737+23, 
IRAS07408-2500	IRAS 07408-2500, 
IRAS07417+1410	 V* BE Gem, AN 312.1934, IRAS 07417+1410, AAVSO 0739+14, 
IRAS07422-2001	 IRAS 07422-2001, WB89 1047, 
IRAS07427-2400	 WBH98 07427-2400, IRAS 07427-2400, 2MASS J07445196-2407399, WB89 1048, BNM96 240.315+0.071, 
IRAS07432+0103	 V* CN CMi, IRAS 07432+0103, 2MASS J07455137+0055393, Tmz V293, 
IRAS07433-2530	IRAS 07433-2530, 
IRAS07462+2351	 V* T Gem, AG+23 878, BD+24 1778, CSS 403, GC 10540, GCRV 5202, GSC 01925-00608, HD 63334, IRAS 07462+2351, 2MASS J07491817+2344040, PPM 97999, S1* 261, SAO 79717, C97 35, AAVSO 0743+23, 
IRAS07506-0345	 IRAS 07506-0345, GLMP 197, 
IRAS07514+0152	 IRAS 07514+0152, 
IRAS07542+2127	 V* XY Gem, CSI+21-07542, GCRV 59215, IRAS 07542+2127, IRC +20192, 2MASS J07570936+2119099, RAFGL 4650S, SV* HV 3674, AAVSO 0751+21, 
IRAS07563+2046	 V* BP Gem, AN 319.1934, IRAS 07563+2046, 2MASS J07591441+2038272, AAVSO 0753+20, 
IRAS07564-0421	 V* BC Mon, AN 190.1932, CSI-04-07565, GCRV 59252, IRAS 07564-0421, AAVSO 0754-04, 
IRAS07581+7332	 V* SW Cam, AN 428.1928, GSC 04380-00395, IRAS 07581+7332, 2MASS J08035971+7324305, SV* HV 75273, AAVSO 0752+73, 
IRAS07585-1242	 V* U Pup, BD-12 2275, GCRV 5332, HD 65940, IRAS 07585-1242, IRC -10184, RAFGL 1215, SV* HV 2, TVH89 24, AAVSO 0756-12, 
IRAS08016+4107	 IRAS 08016+4107, 
IRAS08032+6051	IRAS 08032+6051, FK_Cam,  
IRAS08066+1448	 V* ST Cnc, IRAS 08066+1448, SV* R 201, AAVSO 0803+14, 
IRAS08066-1719	 IRAS 08066-1719, 
IRAS08072+0512	IRAS 08072+0512, DN CMi, 
IRAS08076-3556	 CG 30, BHR 12, DCld 253.3-01.6, IRAS 08076-3556, Reipurth 2, WB89 1099, P84 CG 30 IRS 4, 
IRAS08080+2317	 V* RR Cnc, AN 4.1911, CSI+23-08081, GCRV 5421, IRAS 08080+2317, AAVSO 0805+23, 
IRAS08084-1510	 V* DP Pup, AN 24.1934, IRAS 08084-1510, IRC -20159, 2MASS J08104310-1519469, RAFGL 5241, SV* P 3127, SV* HV 8116, 
IRAS08100-2334	 V* LZ Pup, IRAS 08100-2334, SV* SON 8444, 
IRAS08108+1021	 V* VW Cnc, IRAS 08108+1021, SV* P 529, SV* R 203, LTY2003 NIRS 08109+1020, AAVSO 0808+10, 
IRAS08115+3749	 V* RT Lyn, AN 33.1927, IRAS 08115+3749, IRC +40193, 2MASS J08145064+3740116, RAFGL 4675S, SV* SVS 130, AAVSO 0808+37, 
IRAS08134+4017	 V* W Lyn, AN 10.1911, HIC 40546, HIP 40546, IRAS 08134+4017, 2MASS J08164684+4007533, AAVSO 0810+40, 
IRAS08138+1152	 V* R Cnc, AG+11 959, BD+12 1803, DO 2455, GC 11255, GCRV 5477, GEN# +1.00069243, HD 69243, HIC 40534, HIP 40534, HR 3248, IRAS 08138+1152, IRC +10185, JP11 1654, 2MASS J08163381+1143343, PLX 1966, PPM 125065, RAFGL 1241, SAO 97694, SKY# 15659, LMW2001 517, PCC93 125, AAVSO 0811+12, 
IRAS08149-1339	 V* SV Pup, HIC 40593, HIP 40593, IRAS 08149-1339, 2MASS J08171665-1348304, PPM 715184, SV* HV 3569, AAVSO 0812-13, 
IRAS08186+1409	 V* SZ Cnc, CSI+14-08186, GCRV 5516, IRAS 08186+1409, LMW2001 526, 
IRAS08188+1726	 V* V Cnc, ADS 6763 A, BD+17 1825, CCDM J08217+1717A, CSI+17 1825 1, CSS 494, DO 13503, GC 11390, GCRV 5519, GSC 01382-00592, HD 70276, HIC 40977, HIP 40977, IDS 08160+1736 A, IRAS 08188+1726, LEE 198, 2MASS J08214282+1717064, S1* 305, SAO 97753, SKY# 15866, C97 38, AAVSO 0816+17, 
IRAS08194-1026	 V* GG Hya, AN 64.1934, IRAS 08194-1026, AAVSO 0817-10, 
IRAS08195+3340	 V* T Lyn, AN 1.1906, BD+33 1686, C* 1136, CGCS 2165, GCRV 5527, HIC 41058, HIP 41058, IRAS 08195+3340, 2MASS J08224284+3331091, RAFGL 1246S, SKY# 15907, AAVSO 0816+33, 
IRAS08223+3534	 V* X Lyn, AN 2.1911, BD+35 1821, GCRV 59614, IRAS 08223+3534, AAVSO 0819+35, 
IRAS08242-5050	 NAME HH 47 IRS, HH 46, IRAS 08242-5050, 2MASS J08254384-5100326, NAME HH 46 IRS, WB89 1142, 
IRAS08280+1435	IRAS 08280+1435, FQ Cnc,  
IRAS08329+1904	 V* U Cnc, AG+19 849, BD+19 2042, Cl* NGC 2632 ANM 391, DO 13610, GC 11773, GCRV 5646, HD 72863, IRAS 08329+1904, SAO 97942, AAVSO 0830+19, 
IRAS08333+1322	 V* UY Cnc, AN 76.1933, IRAS 08333+1322, IRC +10192, SV* P 558, AAVSO 0830+13, 
IRAS08372+5018	 V* X UMa, CSI+50-08373, GCRV 5705, HD 73507, IRAS 08372+5018, SV* HV 104, AAVSO 0833+50, 
IRAS08439+7908	IRAS 08439+7908, RS Cam,  
IRAS08509+0315	 V* S Hya, AG+03 1221, BD+03 2085, GC 12278, GCRV 5850, GEN# +1.00076011, HD 76011, HIC 43653, HIP 43653, IRAS 08509+0315, 2MASS J08533395+0304065, PPM 155146, SAO 117236, SKY# 17128, AAVSO 0848+03, 
IRAS08532-0857	 V* T Hya, BD-08 2525, FBS L 10-60, FBS 0853-089, GC 12340, GCRV 5872, GEN# +1.00076400, GSC 05443-00454, HD 76400, HERZ 13140, HIC 43835, HIP 43835, IRAS 08532-0857, IRC -10210, 2MASS J08553985-0908296, PPM 191848, SAO 136414, SKY# 17215, TYC 5443-454-1, AAVSO 0850-08, 
IRAS08534-1901	 SV* BV 1657, BD-18 2521, GSC 06021-00708, IRAS 08534-1901, IRC -20176, 2MASS J08554379-1913278, NSV 4312, PPM 220821, RAFGL 1300, StM 113, TYC 6021-708-1, UCAC2 24333914, PCC93 127, 
IRAS08539+4131	IRAS 08539+4131, CZ_Lyn, IRC +40198, 
IRAS08552-0305	 V* WW Hya, AN 273.1930, CSI-03-08553, GCRV 60308, IRAS 08552-0305, AAVSO 0852-02, 
IRAS08557-0038	 V* TU Hya, IRAS 08557-0038, 2MASS J08581639-0049527, SV* R 205, AAVSO 0853-00, 
IRAS08584+6326	IRAS 08584+6326, FV UMa, 
IRAS09028-2453	 V* S Pyx, CD-24 7693, GCRV 5957, HD 78000, IRAS 09028-2453, AAVSO 0900-24, 
IRAS09057+1325	 V* CW Cnc, AG+13 921, BD+13 2045, CSV 6684, DO 13805, GSC 00818-00577, HD 78420, HIC 44862, HIP 44862, IRAS 09057+1325, IRC +10203, 2MASS J09082652+1313136, PPM 126142, RAFGL 1321, SAO 98383, SV* BV 132, TYC 818-577-1, YZ 13 3664, 
IRAS09069+2527	 V* W Cnc, BD+25 2053a, DO 13813, GCRV 6002, GSC 01954-01300, HD 78585, HIC 44995, HIP 44995, IRAS 09069+2527, IRC +30208, 2MASS J09095265+2514538, RAFGL 1323, SV* HV 45, TYC 1954-1300-1, PCC93 128, AAVSO 0904+25, 
IRAS09076+3110	 V* RS Cnc, AG+31 919, BD+31 1946, CSS 589, DO 13817, GC 12657, GCRV 6007, GEN# +1.00078712, GSC 02492-01847, HD 78712, HIC 45058, HIP 45058, HR 3639, IRAS 09076+3110, IRC +30209, JP11 1771, 2MASS J09103880+3057472, PPM 74299, RAFGL 1326, S1* 351, SAO 61306, SKY# 17701, TYC 2492-1847-1, DS98 114, HFE83 642, LFO93 0907+31, AAVSO 0904+31, 
IRAS09100+6728	IRAS 09100+6728, RX UMa,  
IRAS09142-0422	 IRAS 09142-0422, 
IRAS09184+5350	IRAS 09184+5350, GH UMa, IRC +50195, 
IRAS09235-2347	 V* LP Hya, IRAS 09235-2347, IRC -20188, NSV 4485, RAFGL 5257, SV* SVS 4485, LFO93 0923-23, PCC93 129, 
IRAS09282+2516	IRAS 09282+2516, EH Leo, 
IRAS09331-1428	 V* X Hya, BD-14 2893, GC 13247, GCRV 6203, GEN# +1.00083048, HD 83048, HIC 47066, HIP 47066, IRAS 09331-1428, IRC -10222, 2MASS J09353028-1441285, PPM 221740, RAFGL 4748S, SAO 155319, SKY# 18550, PCC93 130, AAVSO 0930-14, 
IRAS09331-1428	IRAS 09331-1428, X Hya, IRC -10222, 
IRAS09355-2025	 V* ST Hya, AN 36.1913, IRAS 09355-2025, SV* HV 3352, AAVSO 0933-20, 
IRAS09368+7804	 V* Y Dra, AG+78 245, AN 2.1903, CSI+78-09374, FBS L 7-16, FBS 0936+780, GCRV 60759, GCRV 6227, GSC 04544-00330, HD 83114, IRAS 09368+7804, 2MASS J09422273+7751074, OH 138.2 +7.3, RAFGL 1368, SKY# 18758, TYC 4544-330-1, 
IRAS09406+2005	 V* RS Leo, AN 24.1912, BD+20 2367, IRAS 09406+2005, AAVSO 0937+20, 
IRAS09406+3012	 * f Leo, * 15 Leo, AG+30 996, BD+30 1901, FK5 1251, GC 13406, GCRV 6257, GEN# +1.00084107, GSC 01966-00051, HD 84107, HIC 47701, HIP 47701, HR 3861, IRAS 09406+3012, 2MASS J09433326+2958281, N30 2325, PMC 90-93 857, PPM 99807, SAO 61656, SKY# 18796, SRS 31251, TD1 14208, TYC 1966-51-1, UBV M 15663, UBV 9209, uvby98 100084107, HFE83 678, 
IRAS09425+3444	 V* R LMi, BD+35 2050, GC 13437, GCRV 6269, GEN# +1.00084346, GSC 02504-00540, HD 84346, HIC 47886, HIP 47886, IRAS 09425+3444, IRC +30215, JP11 1855, 2MASS J09453429+3430427, RAFGL 1376, SAO 61669, SKY# 18855, TYC 2504-540-1, LFO93 0942+34, PCC93 131, AAVSO 0939+34, 
IRAS09427-2347	 V* RR Hya, CPD-23 4672, GCRV 6271, GEN# +1.00084474, HD 84474, IRAS 09427-2347, IRC -20196, AAVSO 0940-23, 
IRAS09428+4606	IRAS 09428+4606, LM UMa, 
IRAS09429-2148	 V* IW Hya, IRAS 09429-2148, IRC -20197, RAFGL 5259, LFO93 0942-21, NHO98 09429-2148, PCC93 132, TVH89 26, 
IRAS09448+1139	 V* R Leo, AG+11 1144, BD+12 2096, DO 2825, GC 13489, GCRV 6288, GEN# +1.00084748, HD 84748, HIC 48036, HIP 48036, HR 3882, IRAS 09448+1139, IRC +10215, JP11 1865, 2MASS J09473348+1125436, PLX 2317, PMC 90-93 4642, PPM 126795, RAFGL 1380, SAO 98769, SKY# 18923, GS83 170, LFO93 0944+11, PCC93 133, WCP90 094452.210+113940.26, AAVSO 0942+11, p. WDS J09476+1126, 
IRAS09448+1139	IRAS 09448+1139, R Leo, 
IRAS09452+1330	 NAME PEANUT NEBULA, CGCS 2619, IRAS 09452+1330, IRC +10216, 2MASS J09475740+1316435, PK 221+45 1, RAFGL 1381, SCM 50, V* CW Leo, Zel 0945+135, KKH2001 55, LFO93 0945+13, SFD98 221.4+45.1, 
IRAS09507+3509	 V* S LMi, AG+35 974, AN 19.1904, CSI+35-09507, GCRV 6328, HD 85597, HIC 48520, HIP 48520, IRAS 09507+3509, 2MASS J09534315+3455350, PPM 74837, SKY# 19094, AAVSO 0947+35, 
IRAS09510-1741	IRAS 09510-1741, OX Hya, 
IRAS09516+3619	IRAS 09516+3619, U LMi, 
IRAS09572+2130	 V* V Leo, BD+21 2140, DO 14055, GCRV 6373, HD 86608, HIC 49026, HIP 49026, IRAS 09572+2130, 2MASS J10000193+2115444, PCC93 134, AAVSO 0954+21, 
IRAS10015+1413	IRAS 10015+1413, RY Leo, 
IRAS10044-2949	 IRAS 10044-2949, 
IRAS10055+2014	IRAS 10055+2014, YY Leo, 
IRAS10189-3432	IRAS 10189-3432, V Ant, 
IRAS10350-1307	IRAS 10350-1307, U Hya, 
IRAS10411+6902	 V* R UMa, AG+69 449, BD+69 587, GC 14753, GCRV 6677, GEN# +1.00092763, GSC 04385-01427, HD 92763, HIC 52546, HIP 52546, IRAS 10411+6902, IRC +70099, 2MASS J10443845+6846324, PMC 90-93 4644, PPM 17568, RAFGL 1432, 1RXS J104438.5+684631, SAO 15273, SKY# 20578, TYC 4385-1427-1, PCC93 135, AAVSO 1037+69, 
IRAS10489-2821	 V* RS Hya, CD-27 7724, HD 94103, IRAS 10489-2821, IRC -30169, AAVSO 1046-28, 
IRAS10521+7208	 V* VX UMa, IRAS 10521+7208, IRC +70102, RAFGL 1443, PCC93 137, AAVSO 1048+72, 
IRAS10536+2236	IRAS 10536+2236, GX Leo, IRC +20223, 
IRAS10580-1803	 V* R Crt, BD-17 3281, BDS 5640 A, CCDM J11005-1819A, FAUST 2794, GC 15129, GSC 06079-01902, HD 95384, HIC 53809, HIP 53809, IDS 10556-1747 A, IRAS 10580-1803, IRC -20222, 2MASS J11003384-1819296, PPM 223790, RAFGL 1450, SAO 156389, TYC 6079-1902-1, uvby98 100095384 V, YZ 108 4369, LFO93 1058-18, PCC93 138, AAVSO 1055-17, 
IRAS10594-3426	 V* TW Hya, CD-34 7151, GSC 07208-00347, HBC 568, Hen 3-549, HIC 53911, HIP 53911, IRAS 10594-3426, 2MASS J11015191-3442170, PDS 42, 1RXP J110152.0-344212, 1RXS J110152.0-344212, SV* HV 4089, TWA 1, TYC 7208-347-1, UCAC2 17035364, DML87 277, TDQ2000 TRX 9, AAVSO 1057-34, 
IRAS10596+0428	IRAS 10596+0428, FF Leo,  
IRAS11017+0529	IRAS 11017+0529, FG Leo, 
IRAS11082+0543	 IRAS 11082+0543, 
IRAS11125+7524	 V* CS Dra, CSV 6827, GSC 04549-01867, IRAS 11125+7524, IRC +80023, 2MASS J11155590+7508345, RAFGL 1474, SV* BV 190, TYC 4549-1867-1, 
IRAS11210+1707	 V* TZ Leo, AN 345.1933, CSI+17-11211, GCRV 62408, IRAS 11210+1707, IRC +20228, RAFGL 4811S, 
IRAS11252+1525	 V* AF Leo, AN 2.1935, BD+15 2334, DO 14423, GCRV 27196, GSC 01437-01509, HD 99635, IRAS 11252+1525, IRC +20229, 2MASS J11275314+1508481, RAFGL 1488, TYC 1437-1509-1, PCC93 139, AAVSO 1122+15, 
IRAS11373+6830	IRAS 11373+6830, FI Dra, 
IRAS11390+3845	 V* RU UMa, AG+38 1144, AN 137.1907, CSI+38-11390, GCRV 7100, HD 101605, IRAS 11390+3845, 2MASS J11414026+3828293, AAVSO 1136+39, 
IRAS11462-2628	 V* II Hya, CD-26 8789, CPD-26 4595, FK5 1305, GC 16183, GCRV 7147, GEN# +1.00102620, GSC 06673-00912, HD 102620, HIC 57613, HIP 57613, HR 4532, IRAS 11462-2628, IRC -30182, 2MASS J11484507-2644592, N30 2754, PLX 2736, PMC 90-93 902, PPM 259488, RAFGL 1512, SAO 180208, SKY# 22310, SRS 31305, TYC 6673-912-1, UBV M 17403, UBV 10635, YZ 116 9011, DS98 164, PCC93 140, AAVSO 1143-26, 
IRAS11462-2628	IRAS 11462-2628, II Hya, 
IRAS11472-0800	 TYC 5517-133-1, DENIS-P J114948.0-081720, GSC2 S1200231170, GSC 05517-00133, IRAS 11472-0800, 2MASS J11494804-0817204, 
IRAS11501-0719	 V* S Crt, AN 43.1906, BD-06 3469, EIC 296, GCRV 7172, GEN# +1.00103154, GSC 05517-00736, HD 103154, HERZ 13659, HIC 57917, HIP 57917, IRAS 11501-0719, IRC -10259, 2MASS J11524508-0735482, PPM 194925, RAFGL 4830S, SAO 138457, SV* HV 1203, TYC 5517-736-1, UBV 21622, YZ 97 4407, PCC93 141, 
IRAS11538+5808	IRAS 11538+5808, Z UMa, 
IRAS11567-2652	 SV* HV 8403, IRAS 11567-2652, NSV 5406, 
IRAS11575+1941	IRAS 11575+1941, GK Com, IRC +20236, 
IRAS11577-0954	 V* SV Vir, AN 15.1911, CSI-09-11578, GCRV 7220, IRAS 11577-0954, IRC -10260, 2MASS J12002079-1011049, PCC93 142, AAVSO 1155-09, 
IRAS12016+1903	 V* R Com, AG+19 1187, BD+19 2527, BPS BS 16936-0077, GCRV 7241, GEN# +0.01902527, HIC 58854, HIP 58854, IRAS 12016+1903, IRC +20237, 2MASS J12041521+1846569, PPM 128754, RAFGL 4835S, UBV M 939, PCC93 143, AAVSO 1159+19, 
IRAS12026+1238	 V* SU Vir, AN 154.1907, CSI+12-12025, GCRV 7251, HD 104959, IRAS 12026+1238, SV* HV 2998, AAVSO 1200+12, 
IRAS12070+5839	IRAS 12070+5839, TZ UMa, 
IRAS12120-0545	 V* T Vir, BD-05 3456, GC 16717, GCRV 7329, HD 106430, IRAS 12120-0545, IRC -10264, 2MASS J12143668-0602085, RAFGL 5268, SAO 138666, PCC93 144, TVH89 31, AAVSO 1209-05, 
IRAS12165+1649	 NLTT 30317, AG+16 1260, AGKR 11033, ASCC 867033, BD+17 2462, BSD 80-883, GC 16796, GCRV 7378, GEN# +1.00107146, GSC 01445-02267, HD 107146, HIC 60074, HIP 60074, IRAS 12165+1649, IRAS F12165+1649, LSPM J1219+1632, LTT 13439, 2MASS J12190650+1632541, PLX 2836, PPM 128955, RBS 1096, 2RE J1219+163, 2RE J121906+163301, RE J121908+163239, RE J1219+163, RX J1219.1+1632, 1RXS J121906.8+163259, SAO 100038, SKY# 23079, SPOCS 527, TYC 1445-2267-1, UBV M 18049, UBV 11059, USNO-B1.0 1065-00201409, uvby98 100107146, YZ 16 4641, ZEH2003 RX J1219.1+1632 2, 
IRAS12170-1858	 V* R Crv, BD-18 3367, GC 16806, GCRV 7389, GEN# +1.00107199, GSC 06105-00999, HD 107199, HIC 60106, HIP 60106, IRAS 12170-1858, IRC -20237, 2MASS J12193788-1915218, PPM 225675, SAO 157211, SKY# 23090, TYC 6105-999-1, YZ 108 5346, AAVSO 1214-18, 
IRAS12180+6135	IRAS 12180+6135, RY UMa, IRC +60215, 
IRAS12226+0102	 V* SS Vir, AG+01 1462, AN 78.1905, BD+01 2694, C* 1999, CGCS 3236, GCRV 7456, GEN# +1.00108105, GSC 00282-00753, HD 108105, HIC 120212, HIP 120212, IRAS 12226+0102, IRC +00217, LEE 108, 2MASS J12251439+0046109, PPM 158819, RAFGL 1549, SKY# 23253, TYC 282-753-1, AAVSO 1220+01, 
IRAS12240+6857	IRAS 12240+6857, SS Dra, 
IRAS12277+3146	 V* T CVn, BD+32 2250a, CSI+32 2250 2, DO 14586, GCRV 63309, GEN# +1.00108833, GPM1 542, GPM 187.551682+31.503341, GSC 02528-00137, HD 108833, HIC 61009, HIP 61009, IRAS 12277+3146, IRC +30239, 2MASS J12301239+3130119, RAFGL 4849S, TYC 2528-137-1, M60b+32 204, AAVSO 1225+32, 
IRAS12313-0408	 IRAS 12313-0408, 
IRAS12324-1811	 V* U Crv, BD-17 3656, GCRV 63382, IRAS 12324-1811, 2MASS J12350203-1827394, PPM 226058, SV* R 235, AAVSO 1229-17, 
IRAS12341+5945	 V* T UMa, BD+60 1406, DIRBE D12362346P5929128, GC 17178, GCRV 7584, GEN# +1.00109729, HD 109729, HIC 61532, HIP 61532, HR 4800, IRAS 12341+5945, IRC +60219, 2MASS J12362346+5929128, SAO 28444, SKY# 23556, PCC93 145, AAVSO 1231+60, 
